Fecha|Total
2017-12-04|1045.16
2017-12-05|7027.1
2017-12-06|12001.01
2017-12-07|7732.52
2017-12-08|8096.91
2017-12-09|1147.66
2017-12-10|0.0
2017-12-11|0.0
2017-12-12|0.0
2017-12-13|9530.65
2017-12-14|1724.51
2017-12-15|5215.959999999999
2017-12-16|2680.83
2017-12-17|0.0
2017-12-18|15544.3
2017-12-19|7426.95
2017-12-20|16421.5
2017-12-21|24597.52
2017-12-22|5994.37
2017-12-23|7606.2
2017-12-24|0.0
2017-12-25|0.0
2017-12-26|0.0
2017-12-27|2964.61
2017-12-28|0.0
2017-12-29|887.4
2017-12-30|0.0
2017-12-31|0.0
2018-01-01|0.0
2018-01-02|0.0
2018-01-03|11340.27
2018-01-04|42855.47
2018-01-05|0.0
2018-01-06|1066.06
2018-01-07|0.0
2018-01-08|0.0
2018-01-09|17535.629999999997
2018-01-10|906.15
2018-01-11|2583.0
2018-01-12|7869.4400000000005
2018-01-13|3934.34
2018-01-14|0.0
2018-01-15|14586.57
2018-01-16|0.0
2018-01-17|1825.97
2018-01-18|4925.02
2018-01-19|2621.24
2018-01-20|0.0
2018-01-21|0.0
2018-01-22|2090.32
2018-01-23|12652.65
2018-01-24|4628.82
2018-01-25|11337.7
2018-01-26|4853.23
2018-01-27|1045.16
2018-01-28|0.0
2018-01-29|4180.64
2018-01-30|1141.71
2018-01-31|1244.97
2018-02-01|0.0
2018-02-02|8888.5
2018-02-03|0.0
2018-02-04|0.0
2018-02-05|0.0
2018-02-06|3049.61
2018-02-07|2874.16
2018-02-08|7249.38
2018-02-09|2028.84
2018-02-10|0.0
2018-02-11|0.0
2018-02-12|13347.24
2018-02-13|21870.71
2018-02-14|12833.96
2018-02-15|3041.45
2018-02-16|4388.71
2018-02-17|0.0
2018-02-18|0.0
2018-02-19|8153.0599999999995
2018-02-20|2215.8
2018-02-21|4928.17
2018-02-22|5892.41
2018-02-23|3988.6
2018-02-24|0.0
2018-02-25|0.0
2018-02-26|0.0
2018-02-27|0.0
2018-02-28|0.0
2018-03-01|29416.03
2018-03-02|5437.84
2018-03-03|0.0
2018-03-04|0.0
2018-03-05|1107.9
2018-03-06|18894.84
2018-03-07|14444.4
2018-03-08|37039.75
2018-03-09|17450.7
2018-03-10|26473.51
2018-03-11|0.0
2018-03-12|80.0
2018-03-13|18482.510000000002
2018-03-14|2354.26
2018-03-15|4790.0
2018-03-16|10618.71
2018-03-17|1075.15
2018-03-18|0.0
2018-03-19|0.0
2018-03-20|4635.33
2018-03-21|0.0
2018-03-22|0.0
2018-03-23|20845.73
2018-03-24|0.0
2018-03-25|0.0
2018-03-26|0.0
2018-03-27|0.0
2018-03-28|0.0
2018-03-29|0.0
2018-03-30|0.0
2018-03-31|0.0
2018-04-01|0.0
2018-04-02|7320.389999999999
2018-04-03|3788.95
2018-04-04|3014.24
2018-04-05|22047.87
2018-04-06|21244.17
2018-04-07|0.0
2018-04-08|0.0
2018-04-09|3858.42
2018-04-10|25907.21
2018-04-11|2150.6
2018-04-12|21753.57
2018-04-13|12120.67
2018-04-14|5962.98
2018-04-15|0.0
2018-04-16|8962.32
2018-04-17|13556.75
2018-04-18|3964.3500000000004
2018-04-19|950.49
2018-04-20|3321.24
2018-04-21|2998.8
2018-04-22|0.0
2018-04-23|3074.38
2018-04-24|0.0
2018-04-25|3838.79
2018-04-26|10036.0
2018-04-27|0.0
2018-04-28|0.0
2018-04-29|0.0
2018-04-30|8306.720000000001
2018-05-01|0.0
2018-05-02|0.0
2018-05-03|0.0
2018-05-04|0.0
2018-05-05|0.0
2018-05-06|0.0
2018-05-07|0.0
2018-05-08|0.0
2018-05-09|0.0
2018-05-10|0.0
2018-05-11|0.0
2018-05-12|0.0
2018-05-13|0.0
2018-05-14|0.0
2018-05-15|0.0
2018-05-16|0.0
2018-05-17|0.0
2018-05-18|0.0
2018-05-19|0.0
2018-05-20|0.0
2018-05-21|0.0
2018-05-22|0.0
2018-05-23|0.0
2018-05-24|0.0
2018-05-25|0.0
2018-05-26|0.0
2018-05-27|0.0
2018-05-28|0.0
2018-05-29|0.0
2018-05-30|0.0
2018-05-31|0.0
2018-06-01|56695.63
2018-06-02|16416.370000000003
2018-06-03|0.0
2018-06-04|2038.6200000000001
2018-06-05|1861.19
2018-06-06|6170.9
2018-06-07|1246.36
2018-06-08|2107.9
2018-06-09|0.0
2018-06-10|0.0
2018-06-11|2266.3
2018-06-12|12391.97
2018-06-13|10341.7
2018-06-14|2215.8
2018-06-15|5953.85
2018-06-16|1507.11
2018-06-17|0.0
2018-06-18|18498.97
2018-06-19|10119.720000000001
2018-06-20|0.0
2018-06-21|1107.9
2018-06-22|4623.81
2018-06-23|0.0
2018-06-24|0.0
2018-06-25|1107.9
2018-06-26|0.0
2018-06-27|2832.41
2018-06-28|4415.82
2018-06-29|1107.9
2018-06-30|937.28
2018-07-01|0.0
2018-07-02|44619.72
2018-07-03|6671.09
2018-07-04|0.0
2018-07-05|11084.53
2018-07-06|0.0
2018-07-07|4011.8
2018-07-08|0.0
2018-07-09|8070.35
2018-07-10|14809.029999999999
2018-07-11|12350.48
2018-07-12|0.0
2018-07-13|0.0
2018-07-14|1107.9
2018-07-15|0.0
